route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-ALM-F-mjp-1","T0","8262.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8267.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8271.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8274.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8278.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8283.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8289.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8292.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8298.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8304.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8308.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8314.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8320.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8326.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8332.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8338.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8344.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
"2-ALM-F-mjp-1","T0","8350.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","Alamein","0"
